"","Date","spx","dax","ftse","nikkei"
"3","1994-01-10",475.269989013672,2225,3440.60009765625,18443.439453125
"4","1994-01-11",474.130004882812,2228.10009765625,3413.80004882812,18485.25
"5","1994-01-12",474.170013427734,2182.06005859375,3372,18793.880859375
"6","1994-01-13",472.470001220703,2142.3701171875,3360,18577.259765625
"7","1994-01-14",474.910003662109,2151.05004882812,3400.60009765625,18973.69921875
"8","1994-01-17",473.299987792969,2115.56005859375,3407.80004882812,18725.369140625
"9","1994-01-18",474.25,2130.35009765625,3437,18514.55078125
"10","1994-01-19",474.299987792969,2132.52001953125,3475.10009765625,19039.400390625
"11","1994-01-20",474.980010986328,2098.36010742188,3470,19183.919921875
"12","1994-01-21",474.720001220703,2073.93994140625,3484.19995117188,19307.4296875
"13","1994-01-24",471.970001220703,2107.2900390625,3481.39990234375,18353.240234375
"14","1994-01-25",470.920013427734,2090.78002929688,3444,18648.359375
"15","1994-01-26",473.200012207031,2128.65991210938,3436.10009765625,19138.2109375
"16","1994-01-27",477.049987792969,2123.31005859375,3427.30004882812,18891.7890625
"17","1994-01-28",478.700012207031,2156.61010742188,3447.39990234375,18757.880859375
"18","1994-01-31",481.609985351562,2192.60009765625,3491.80004882812,20229.119140625
"19","1994-02-01",479.619995117188,2181.8798828125,3481.5,20416.33984375
"20","1994-02-02",482,2184.05004882812,3520.30004882812,20250.029296875
"21","1994-02-03",480.709991455078,2137.080078125,3491.5,20174.8203125
"22","1994-02-04",469.809997558594,2143.89990234375,3475.39990234375,20301.4296875
"23","1994-02-07",471.760009765625,2095.11010742188,3419.10009765625,20014.400390625
"24","1994-02-08",471.049987792969,2099.57006835938,3440.19995117188,20251.23046875
"25","1994-02-09",472.769989013672,2116.42993164062,3429.10009765625,19841.380859375
"26","1994-02-10",468.929992675781,2119.68994140625,3407,19990.69921875
"27","1994-02-11",470.179992675781,2108.77001953125,3378.89990234375,19990.69921875
"28","1994-02-14",470.230010986328,2101.92993164062,3363.5,19459.25
"29","1994-02-15",472.519989013672,2130.7099609375,3393.19995117188,18974.599609375
"30","1994-02-16",472.790008544922,2135.25,3417.69995117188,19052.109375
"31","1994-02-17",470.339996337891,2162.2900390625,3425.30004882812,18931.390625
"32","1994-02-18",467.690002441406,2133.85009765625,3382.60009765625,18959.599609375
"33","1994-02-21",467.690002441406,2108.06005859375,3350.30004882812,19393.939453125
"34","1994-02-22",471.459991455078,2113.63989257812,3333.69995117188,19342.630859375
"35","1994-02-23",470.690002441406,2140.25,3341.89990234375,19341.830078125
"36","1994-02-24",464.260009765625,2082.89990234375,3267.5,19765.48046875
"37","1994-02-25",466.070007324219,2075.330078125,3281.19995117188,19803.380859375
"38","1994-02-28",467.140014648438,2103.23999023438,3328.10009765625,19997.19921875
"39","1994-03-01",464.440002441406,2056.61010742188,3270.60009765625,20216.619140625
"40","1994-03-02",464.809997558594,2018.68994140625,3248.10009765625,19744.76953125
"41","1994-03-03",463.010009765625,2044.44995117188,3246.5,19605.859375
"42","1994-03-04",464.739990234375,2076.76000976562,3278,19966
"43","1994-03-07",466.910003662109,2132.1201171875,3305.89990234375,19811.880859375
"44","1994-03-08",465.880004882812,2125.46997070312,3264.39990234375,19898.390625
"45","1994-03-09",467.059997558594,2118.01000976562,3246.69995117188,19839.1796875
"46","1994-03-10",463.899993896484,2124.51000976562,3233.89990234375,20090.7109375
"47","1994-03-11",466.440002441406,2101.88989257812,3191.89990234375,20115.310546875
"48","1994-03-14",467.390014648438,2169.39990234375,3233.39990234375,20526.150390625
"49","1994-03-15",467.010009765625,2178.90991210938,3267.39990234375,20508.849609375
"50","1994-03-16",469.420013427734,2168.11010742188,3242.89990234375,20677.76953125
"51","1994-03-17",470.899993896484,2160.44995117188,3255.69995117188,20592.16015625
"52","1994-03-18",471.059997558594,2140.38989257812,3218.10009765625,20469.44921875
"53","1994-03-21",468.540008544922,2130.55004882812,3198,20469.44921875
"54","1994-03-22",468.799987792969,2141.69995117188,3201.5,20253.529296875
"55","1994-03-23",468.540008544922,2162.9599609375,3155.30004882812,19962.099609375
"56","1994-03-24",464.350006103516,2144.36010742188,3121.69995117188,20037.900390625
"57","1994-03-25",460.579986572266,2144,3129,19836.48046875
"58","1994-03-28",460,2167.71997070312,3129.5,19941.7890625
"59","1994-03-29",452.480010986328,2162.82006835938,3123.39990234375,19709.740234375
"60","1994-03-30",445.549987792969,2151.84008789062,3092.39990234375,19559.91015625
"61","1994-03-31",445.769989013672,2142.8798828125,3086.39990234375,19111.919921875
"62","1994-04-01",445.769989013672,2142.8798828125,3086.39990234375,19277.16015625
"63","1994-04-04",438.920013427734,2142.8798828125,3086.39990234375,19122.220703125
"64","1994-04-05",448.290008544922,2177.09008789062,3116.19995117188,19563.2109375
"65","1994-04-06",448.049987792969,2184.88989257812,3131.5,19696.740234375
"66","1994-04-07",450.880004882812,2202.57006835938,3129,19890.98046875
"67","1994-04-08",447.100006103516,2203.17993164062,3120.80004882812,19934.990234375
"68","1994-04-11",449.869995117188,2224.85009765625,3149.39990234375,19898.080078125
"69","1994-04-12",447.570007324219,2211.18994140625,3159.10009765625,19648.330078125
"70","1994-04-13",446.260009765625,2215.18994140625,3145.80004882812,20060.41015625
"71","1994-04-14",446.380004882812,2198.23999023438,3131.69995117188,19987.19921875
"72","1994-04-15",446.179992675781,2211.919921875,3168.30004882812,20164.630859375
"73","1994-04-18",442.459991455078,2218.3701171875,3138.19995117188,20277.359375
"74","1994-04-19",442.540008544922,2193.88989257812,3128,20192.33984375
